"Time","KS (id=0 block=1)","MULR (id=0 block=1)","PHI (id=0 block=1)","PVI (id=0 block=1)","Point Coordinates_Magnitude (id=0 block=1)","Point Coordinates_X (id=0 block=1)","Point Coordinates_Y (id=0 block=1)","Point Coordinates_Z (id=0 block=1)","QL1 (id=0 block=1)","QL2 (id=0 block=1)","QLABS (id=0 block=1)","TIME (id=0 block=1)","Time (id=0 block=1)","WL1 (id=0 block=1)","WL2 (id=0 block=1)","n_A_irr (id=0 block=1)","n_A_rev (id=0 block=1)","p (id=0 block=1)","qm (id=0 block=1)","rhoFs (id=0 block=1)","s_G (id=0 block=1)","u_x (id=0 block=1)","u_y (id=0 block=1)","vtkValidPointMask (id=0 block=1)"
0,1.96496e-12,0.001,0.195,0.0193672,0.707107,0.5,0.5,0,1.24003e-07,-3.63361e-07,3.83948e-07,19.531,0,6.35911e-07,-1.86339e-06,4.90169e-16,1.00425e-15,254.128,269.304,0,9.9255e-13,2.43971e-06,-5.71006e-06,1
1,1.96496e-12,0.001,0.195,0.068948,0.707107,0.5,0.5,0,5.84748e-07,-1.63096e-06,1.73262e-06,69.531,1,2.99871e-06,-8.36389e-06,1.69341e-15,1.17186e-14,1205.94,269.425,0,9.31844e-13,9.69391e-06,-2.31255e-05,1
2,1.96496e-12,0.001,0.195,0.118529,0.707107,0.5,0.5,0,1.04944e-06,-2.91583e-06,3.09894e-06,119.531,2,5.38176e-06,-1.4953e-05,2.79251e-15,2.57365e-14,2196.97,269.525,0,8.54617e-13,1.6945e-05,-4.06875e-05,1
3,1.96496e-12,0.001,0.195,0.16811,0.707107,0.5,0.5,0,1.5138e-06,-4.20249e-06,4.46682e-06,169.531,3,7.76305e-06,-2.15512e-05,3.78548e-15,4.0383e-14,3195.29,269.607,0,7.74621e-13,2.41879e-05,-5.82663e-05,1
4,1.96496e-12,0.001,0.195,0.21769,0.707107,0.5,0.5,0,1.97798e-06,-5.48936e-06,5.83486e-06,219.531,4,1.01435e-05,-2.81506e-05,4.67986e-15,5.41457e-14,4194.98,269.675,0,6.99594e-13,3.14287e-05,-7.58473e-05,1
5,1.96496e-12,0.001,0.195,0.267271,0.707107,0.5,0.5,0,2.44214e-06,-6.77627e-06,7.20291e-06,269.531,5,1.25238e-05,-3.47501e-05,5.48728e-15,6.63476e-14,5194.92,269.732,0,6.32964e-13,3.8669e-05,-9.34286e-05,1
6,1.96496e-12,0.001,0.195,0.316852,0.707107,0.5,0.5,0,2.90628e-06,-8.06317e-06,8.57096e-06,319.531,6,1.4904e-05,-4.13496e-05,6.22005e-15,7.68281e-14,6194.92,269.778,0,5.75504e-13,4.59092e-05,-0.00011101,1
7,1.96496e-12,0.001,0.195,0.366433,0.707107,0.5,0.5,0,3.37042e-06,-9.35008e-06,9.93901e-06,369.531,7,1.72842e-05,-4.79492e-05,6.88953e-15,8.56973e-14,7194.92,269.817,0,5.26598e-13,5.31493e-05,-0.000128591,1
8,1.96496e-12,0.001,0.195,0.416014,0.707107,0.5,0.5,0,3.83456e-06,-1.0637e-05,1.13071e-05,419.531,8,1.96644e-05,-5.45487e-05,7.50543e-15,9.31754e-14,8194.93,269.849,0,4.85074e-13,6.03895e-05,-0.000146173,1
9,1.96496e-12,0.001,0.195,0.465594,0.707107,0.5,0.5,0,4.2987e-06,-1.19239e-05,1.26751e-05,469.531,9,2.20446e-05,-6.11482e-05,8.07576e-15,9.95027e-14,9194.93,269.875,0,4.49661e-13,6.76297e-05,-0.000163754,1
10,1.96496e-12,0.001,0.195,0.515175,0.707107,0.5,0.5,0,4.76284e-06,-1.32108e-05,1.40432e-05,519.531,10,2.44248e-05,-6.77478e-05,8.60702e-15,1.0489e-13,10194.9,269.896,0,4.19224e-13,7.48699e-05,-0.000181336,1
11,1.96496e-12,0.001,0.195,0.564756,0.707107,0.5,0.5,0,5.22698e-06,-1.44977e-05,1.54112e-05,569.531,11,2.6805e-05,-7.43473e-05,9.10451e-15,1.09503e-13,11194.9,269.914,0,3.92872e-13,8.211e-05,-0.000198917,1
12,1.96496e-12,0.001,0.195,0.614337,0.707107,0.5,0.5,0,5.69113e-06,-1.57846e-05,1.67793e-05,619.531,12,2.91853e-05,-8.09468e-05,9.58296e-15,1.11891e-13,12195,269.929,0,3.78061e-13,8.93502e-05,-0.000216498,1
13,1.96496e-12,0.001,0.195,0.663918,0.707107,0.5,0.5,0,6.15527e-06,-1.70715e-05,1.81473e-05,669.531,13,3.15655e-05,-8.75464e-05,1.00466e-14,1.13654e-13,13195,269.941,0,3.66528e-13,9.65904e-05,-0.00023408,1
14,1.96496e-12,0.001,0.195,0.713498,0.707107,0.5,0.5,0,6.61941e-06,-1.83585e-05,1.95154e-05,719.531,14,3.39457e-05,-9.41459e-05,1.04983e-14,1.14986e-13,14195,269.952,0,3.57251e-13,0.000103831,-0.000251661,1
15,1.96496e-12,0.001,0.195,0.763079,0.707107,0.5,0.5,0,7.08355e-06,-1.96454e-05,2.08834e-05,769.531,15,3.63259e-05,-0.000100745,1.09401e-14,1.16007e-13,15195,269.96,0,3.496e-13,0.000111071,-0.000269243,1
16,1.96496e-12,0.001,0.195,0.81266,0.707107,0.5,0.5,0,7.54769e-06,-2.09323e-05,2.22515e-05,819.531,16,3.87061e-05,-0.000107345,1.13738e-14,1.16784e-13,16195,269.967,0,3.4322e-13,0.000118311,-0.000286824,1
17,1.96496e-12,0.001,0.195,0.862241,0.707107,0.5,0.5,0,8.01183e-06,-2.22192e-05,2.36195e-05,869.531,17,4.10863e-05,-0.000113945,1.18006e-14,1.1736e-13,17195,269.972,0,3.37877e-13,0.000125551,-0.000304406,1
18,1.96496e-12,0.001,0.195,0.911822,0.707107,0.5,0.5,0,8.47597e-06,-2.35061e-05,2.49876e-05,919.531,18,4.34665e-05,-0.000120544,1.22217e-14,1.17765e-13,18195,269.977,0,3.33414e-13,0.000132791,-0.000321987,1
19,1.96496e-12,0.001,0.195,0.961402,0.707107,0.5,0.5,0,8.94011e-06,-2.4793e-05,2.63556e-05,969.531,19,4.58467e-05,-0.000127144,1.2638e-14,1.18023e-13,19195,269.981,0,3.29707e-13,0.000140031,-0.000339568,1
20,1.96496e-12,0.001,0.195,1.01098,0.707107,0.5,0.5,0,9.40425e-06,-2.60799e-05,2.77237e-05,1019.53,20,4.82269e-05,-0.000133743,1.30504e-14,1.18151e-13,20195,269.984,0,3.26657e-13,0.000147272,-0.00035715,1
21,1.96496e-12,0.001,0.195,1.06056,0.707107,0.5,0.5,0,9.86839e-06,-2.73668e-05,2.90917e-05,1069.53,21,5.06071e-05,-0.000140343,1.34596e-14,1.18165e-13,21195,269.987,0,3.24185e-13,0.000154512,-0.000374731,1
22,1.96496e-12,0.001,0.195,1.11014,0.707107,0.5,0.5,0,1.03325e-05,-2.86537e-05,3.04598e-05,1119.53,22,5.29874e-05,-0.000146942,1.38663e-14,1.18077e-13,22195,269.989,0,3.22227e-13,0.000161752,-0.000392313,1
23,1.96496e-12,0.001,0.195,1.15973,0.707107,0.5,0.5,0,1.07967e-05,-2.99406e-05,3.18278e-05,1169.53,23,5.53676e-05,-0.000153542,1.42711e-14,1.17898e-13,23195,269.991,0,3.20727e-13,0.000168992,-0.000409894,1
24,1.96496e-12,0.001,0.195,1.20931,0.707107,0.5,0.5,0,1.12608e-05,-3.12276e-05,3.31959e-05,1219.53,24,5.77478e-05,-0.000160141,1.46745e-14,1.17636e-13,24195,269.992,0,3.19643e-13,0.000176232,-0.000427475,1
25,1.96496e-12,0.001,0.195,1.25889,0.707107,0.5,0.5,0,1.1725e-05,-3.25145e-05,3.45639e-05,1269.53,25,6.0128e-05,-0.000166741,1.50769e-14,1.173e-13,25195,269.994,0,3.18937e-13,0.000183472,-0.000445057,1
26,1.96496e-12,0.001,0.195,1.30847,0.707107,0.5,0.5,0,1.21891e-05,-3.38014e-05,3.5932e-05,1319.53,26,6.25082e-05,-0.00017334,1.54789e-14,1.16896e-13,26195,269.995,0,3.18575e-13,0.000190713,-0.000462638,1
27,1.96496e-12,0.001,0.195,1.35805,0.707107,0.5,0.5,0,1.26532e-05,-3.50883e-05,3.73001e-05,1369.53,27,6.48884e-05,-0.00017994,1.58808e-14,1.16431e-13,27195,269.996,0,3.18532e-13,0.000197953,-0.00048022,1
28,1.96496e-12,0.001,0.195,1.40763,0.707107,0.5,0.5,0,1.31174e-05,-3.63752e-05,3.86681e-05,1419.53,28,6.72686e-05,-0.000186539,1.6283e-14,1.15911e-13,28195.1,269.996,0,3.18786e-13,0.000205193,-0.000497801,1
29,1.96496e-12,0.001,0.195,1.45721,0.707107,0.5,0.5,0,1.35815e-05,-3.76621e-05,4.00362e-05,1469.53,29,6.96488e-05,-0.000193139,1.66858e-14,1.1534e-13,29195.1,269.997,0,3.19319e-13,0.000212433,-0.000515382,1
30,1.96496e-12,0.001,0.195,1.50679,0.707107,0.5,0.5,0,1.40457e-05,-3.8949e-05,4.14042e-05,1519.53,30,7.2029e-05,-0.000199739,1.70897e-14,1.14725e-13,30195.1,269.997,0,3.20116e-13,0.000219673,-0.000532964,1
31,1.96496e-12,0.001,0.195,1.55637,0.707107,0.5,0.5,0,1.45098e-05,-4.02359e-05,4.27723e-05,1569.53,31,7.44093e-05,-0.000206338,1.74948e-14,1.14069e-13,31195.1,269.998,0,3.21166e-13,0.000226914,-0.000550545,1
32,1.96496e-12,0.001,0.195,1.60595,0.707107,0.5,0.5,0,1.49739e-05,-4.15228e-05,4.41403e-05,1619.53,32,7.67895e-05,-0.000212938,1.79016e-14,1.13379e-13,32195.1,269.998,0,3.22461e-13,0.000234154,-0.000568127,1
33,1.96496e-12,0.001,0.195,1.65553,0.707107,0.5,0.5,0,1.54381e-05,-4.28097e-05,4.55084e-05,1669.53,33,7.91697e-05,-0.000219537,1.83103e-14,1.12658e-13,33195.1,269.998,0,3.23997e-13,0.000241394,-0.000585708,1
34,1.96496e-12,0.001,0.195,1.70511,0.707107,0.5,0.5,0,1.59022e-05,-4.40967e-05,4.68764e-05,1719.53,34,8.15499e-05,-0.000226137,1.87213e-14,1.11911e-13,34195.1,269.998,0,3.2577e-13,0.000248634,-0.00060329,1
35,1.96496e-12,0.001,0.195,1.7547,0.707107,0.5,0.5,0,1.63664e-05,-4.53836e-05,4.82445e-05,1769.53,35,8.39301e-05,-0.000232736,1.91347e-14,1.11144e-13,35195.1,269.999,0,3.27781e-13,0.000255874,-0.000620871,1
36,1.96496e-12,0.001,0.195,1.80428,0.707107,0.5,0.5,0,1.68305e-05,-4.66705e-05,4.96125e-05,1819.53,36,8.63103e-05,-0.000239336,1.9551e-14,1.10361e-13,36195.1,269.999,0,3.30033e-13,0.000263114,-0.000638452,1
37,1.96496e-12,0.001,0.195,1.85386,0.707107,0.5,0.5,0,1.72946e-05,-4.79574e-05,5.09806e-05,1869.53,37,8.86905e-05,-0.000245935,1.99705e-14,1.09567e-13,37195.1,269.999,0,3.32531e-13,0.000270355,-0.000656034,1
38,1.96496e-12,0.001,0.195,1.90344,0.707107,0.5,0.5,0,1.77588e-05,-4.92443e-05,5.23486e-05,1919.53,38,9.10707e-05,-0.000252535,2.03934e-14,1.08768e-13,38195.1,269.999,0,3.35281e-13,0.000277595,-0.000673615,1
39,1.96496e-12,0.001,0.195,1.95302,0.707107,0.5,0.5,0,1.82229e-05,-5.05312e-05,5.37167e-05,1969.53,39,9.34509e-05,-0.000259134,2.08201e-14,1.07967e-13,39195.1,269.999,0,3.38292e-13,0.000284835,-0.000691197,1
40,1.96496e-12,0.001,0.195,2.0026,0.707107,0.5,0.5,0,1.86871e-05,-5.18181e-05,5.50847e-05,2019.53,40,9.58311e-05,-0.000265734,2.12509e-14,1.0717e-13,40195.1,269.999,0,3.41574e-13,0.000292075,-0.000708778,1
41,1.96496e-12,0.001,0.195,2.05218,0.707107,0.5,0.5,0,1.91512e-05,-5.3105e-05,5.64528e-05,2069.53,41,9.82114e-05,-0.000272333,2.16862e-14,1.06381e-13,41195.1,269.999,0,3.45137e-13,0.000299315,-0.000726359,1
42,1.96496e-12,0.001,0.195,2.10176,0.707107,0.5,0.5,0,1.96154e-05,-5.43919e-05,5.78208e-05,2119.53,42,0.000100592,-0.000278933,2.21264e-14,1.05604e-13,42195.1,269.999,0,3.48992e-13,0.000306555,-0.000743941,1
43,1.96496e-12,0.001,0.195,2.15134,0.707107,0.5,0.5,0,2.00795e-05,-5.56789e-05,5.91889e-05,2169.53,43,0.000102972,-0.000285533,2.25718e-14,1.04843e-13,43195.2,269.999,0,3.53151e-13,0.000313796,-0.000761522,1
44,1.96496e-12,0.001,0.195,2.20092,0.707107,0.5,0.5,0,2.05436e-05,-5.69658e-05,6.05569e-05,2219.53,44,0.000105352,-0.000292132,2.30228e-14,1.04102e-13,44195.2,269.999,0,3.5762e-13,0.000321036,-0.000779104,1
45,1.96496e-12,0.001,0.195,2.2505,0.707107,0.5,0.5,0,2.10078e-05,-5.82527e-05,6.1925e-05,2269.53,45,0.000107732,-0.000298732,2.34799e-14,1.03383e-13,45195.2,269.999,0,3.62408e-13,0.000328276,-0.000796685,1
46,1.96496e-12,0.001,0.195,2.30008,0.707107,0.5,0.5,0,2.14719e-05,-5.95396e-05,6.3293e-05,2319.53,46,0.000110112,-0.000305331,2.39434e-14,1.02687e-13,46195.2,269.999,0,3.67519e-13,0.000335516,-0.000814266,1
47,1.96496e-12,0.001,0.195,2.34966,0.707107,0.5,0.5,0,2.19361e-05,-6.08265e-05,6.46611e-05,2369.53,47,0.000112493,-0.000311931,2.44138e-14,1.02014e-13,47195.2,269.999,0,3.72952e-13,0.000342756,-0.000831848,1
