"Time","KS (id=3 block=1)","MULR (id=3 block=1)","PHI (id=3 block=1)","PVI (id=3 block=1)","Point Coordinates_Magnitude (id=3 block=1)","Point Coordinates_X (id=3 block=1)","Point Coordinates_Y (id=3 block=1)","Point Coordinates_Z (id=3 block=1)","QL1 (id=3 block=1)","QL2 (id=3 block=1)","QLABS (id=3 block=1)","TIME (id=3 block=1)","Time (id=3 block=1)","WL1 (id=3 block=1)","WL2 (id=3 block=1)","n_A_irr (id=3 block=1)","n_A_rev (id=3 block=1)","p (id=3 block=1)","qm (id=3 block=1)","rhoFs (id=3 block=1)","s_G (id=3 block=1)","u_x (id=3 block=1)","u_y (id=3 block=1)","vtkValidPointMask (id=3 block=1)"
0,1.96496e-12,0.001,0.195,0.0193672,0.901388,0.5,0.75,0,9.70607e-08,-4.51355e-07,4.61674e-07,19.531,0,4.97747e-07,-2.31464e-06,4.89676e-16,1.24286e-15,235.897,269.304,0,9.91329e-13,2.25325e-06,-4.35999e-06,1
1,1.96496e-12,0.001,0.195,0.068948,0.901388,0.5,0.75,0,3.73257e-07,-1.75348e-06,1.79278e-06,69.531,1,1.91414e-06,-8.9922e-06,1.68946e-15,1.22423e-14,1091.22,269.425,0,9.29176e-13,8.21807e-06,-1.69003e-05,1
2,1.96496e-12,0.001,0.195,0.118529,0.901388,0.5,0.75,0,6.41538e-07,-3.04183e-06,3.10878e-06,119.531,2,3.28994e-06,-1.55991e-05,2.78614e-15,2.61076e-14,1975.86,269.525,0,8.52741e-13,1.40793e-05,-2.94596e-05,1
3,1.96496e-12,0.001,0.195,0.16811,0.901388,0.5,0.75,0,9.0773e-07,-4.32652e-06,4.42077e-06,169.531,3,4.65503e-06,-2.21873e-05,3.77904e-15,4.03995e-14,2865.81,269.607,0,7.74566e-13,1.99149e-05,-4.20155e-05,1
4,1.96496e-12,0.001,0.195,0.21769,0.901388,0.5,0.75,0,1.17348e-06,-5.61045e-06,5.73192e-06,219.531,4,6.01783e-06,-2.87715e-05,4.67591e-15,5.37711e-14,3756.75,269.675,0,7.01547e-13,2.57451e-05,-5.45703e-05,1
5,1.96496e-12,0.001,0.195,0.267271,0.901388,0.5,0.75,0,1.43913e-06,-6.89421e-06,7.0429e-06,269.531,5,7.38017e-06,-3.53549e-05,5.48807e-15,6.56304e-14,4647.87,269.732,0,6.36686e-13,3.15743e-05,-6.71248e-05,1
6,1.96496e-12,0.001,0.195,0.316852,0.901388,0.5,0.75,0,1.70477e-06,-8.17795e-06,8.35384e-06,319.531,6,8.74243e-06,-4.19382e-05,6.22732e-15,7.58467e-14,5539.02,269.778,0,5.8061e-13,3.74032e-05,-7.96792e-05,1
7,1.96496e-12,0.001,0.195,0.366433,0.901388,0.5,0.75,0,1.97041e-06,-9.46168e-06,9.66478e-06,369.531,7,1.01047e-05,-4.85214e-05,6.90455e-15,8.45301e-14,6430.18,269.817,0,5.32711e-13,4.32321e-05,-9.22336e-05,1
8,1.96496e-12,0.001,0.195,0.416014,0.901388,0.5,0.75,0,2.23605e-06,-1.07454e-05,1.09757e-05,419.531,8,1.14669e-05,-5.51047e-05,7.52909e-15,9.18864e-14,7321.35,269.849,0,4.9189e-13,4.9061e-05,-0.000104788,1
9,1.96496e-12,0.001,0.195,0.465594,0.901388,0.5,0.75,0,2.50168e-06,-1.20291e-05,1.22867e-05,469.531,9,1.28291e-05,-6.16879e-05,8.10862e-15,9.81455e-14,8212.51,269.875,0,4.5693e-13,5.489e-05,-0.000117342,1
10,1.96496e-12,0.001,0.195,0.515175,0.901388,0.5,0.75,0,2.76732e-06,-1.33129e-05,1.35976e-05,519.531,10,1.41914e-05,-6.82711e-05,8.64929e-15,1.03539e-13,9103.67,269.896,0,4.26671e-13,6.07189e-05,-0.000129897,1
