"Time","KS (id=2 block=1)","MULR (id=2 block=1)","PHI (id=2 block=1)","PVI (id=2 block=1)","Point Coordinates_Magnitude (id=2 block=1)","Point Coordinates_X (id=2 block=1)","Point Coordinates_Y (id=2 block=1)","Point Coordinates_Z (id=2 block=1)","QL1 (id=2 block=1)","QL2 (id=2 block=1)","QLABS (id=2 block=1)","TIME (id=2 block=1)","Time (id=2 block=1)","WL1 (id=2 block=1)","WL2 (id=2 block=1)","n_A_irr (id=2 block=1)","n_A_rev (id=2 block=1)","p (id=2 block=1)","qm (id=2 block=1)","rhoFs (id=2 block=1)","s_G (id=2 block=1)","u_x (id=2 block=1)","u_y (id=2 block=1)","vtkValidPointMask (id=2 block=1)"
0,1.96496e-12,0.001,0.195,0.0193672,1.11803,1,0.5,0,4.55417e-08,-1.35177e-07,1.42652e-07,19.531,0,2.33547e-07,-6.93216e-07,4.91448e-16,3.72215e-16,108.646,269.304,0,9.95785e-13,8.83424e-07,-2.45949e-06,1
1,1.96496e-12,0.001,0.195,0.068948,1.11803,1,0.5,0,2.05555e-07,-7.04669e-07,7.34079e-07,69.531,1,1.05413e-06,-3.61369e-06,1.73923e-15,4.981e-15,521.047,269.425,0,9.66182e-13,3.45292e-06,-1.07513e-05,1
2,1.96496e-12,0.001,0.195,0.118529,1.11803,1,0.5,0,3.64438e-07,-1.29933e-06,1.34954e-06,119.531,2,1.86891e-06,-6.66322e-06,2.93091e-15,1.16114e-14,953.135,269.525,0,9.26404e-13,6.00851e-06,-1.92398e-05,1
3,1.96496e-12,0.001,0.195,0.16811,1.11803,1,0.5,0,5.22633e-07,-1.89831e-06,1.96905e-06,169.531,3,2.68017e-06,-9.73494e-06,4.06164e-15,1.92068e-14,1389.04,269.607,0,8.8191e-13,8.5585e-06,-2.77614e-05,1
4,1.96496e-12,0.001,0.195,0.21769,1.11803,1,0.5,0,6.80656e-07,-2.49808e-06,2.58929e-06,219.531,4,3.49054e-06,-1.28107e-05,5.13109e-15,2.70586e-14,1825.67,269.675,0,8.36354e-13,1.11072e-05,-3.6289e-05,1
5,1.96496e-12,0.001,0.195,0.267271,1.11803,1,0.5,0,8.38642e-07,-3.09799e-06,3.20967e-06,269.531,5,4.30073e-06,-1.58871e-05,6.14153e-15,3.47308e-14,2262.45,269.732,0,7.91977e-13,1.36556e-05,-4.48176e-05,1
6,1.96496e-12,0.001,0.195,0.316852,1.11803,1,0.5,0,9.96621e-07,-3.69793e-06,3.83008e-06,319.531,6,5.11088e-06,-1.89638e-05,7.09668e-15,4.19815e-14,2699.25,269.778,0,7.50017e-13,1.6204e-05,-5.33465e-05,1
7,1.96496e-12,0.001,0.195,0.366433,1.11803,1,0.5,0,1.1546e-06,-4.29788e-06,4.4505e-06,369.531,7,5.92102e-06,-2.20404e-05,8.00083e-15,4.86974e-14,3136.06,269.817,0,7.11046e-13,1.87523e-05,-6.18753e-05,1
8,1.96496e-12,0.001,0.195,0.416014,1.11803,1,0.5,0,1.31258e-06,-4.89782e-06,5.07092e-06,419.531,8,6.73116e-06,-2.5117e-05,8.85833e-15,5.4846e-14,3572.87,269.849,0,6.75219e-13,2.13007e-05,-7.04042e-05,1
9,1.96496e-12,0.001,0.195,0.465594,1.11803,1,0.5,0,1.47055e-06,-5.49777e-06,5.69134e-06,469.531,9,7.5413e-06,-2.81937e-05,9.67337e-15,6.04413e-14,4009.67,269.875,0,6.4245e-13,2.3849e-05,-7.89331e-05,1
10,1.96496e-12,0.001,0.195,0.515175,1.11803,1,0.5,0,1.62853e-06,-6.09771e-06,6.31177e-06,519.531,10,8.35144e-06,-3.12703e-05,1.04498e-14,6.55215e-14,4446.48,269.896,0,6.1253e-13,2.63974e-05,-8.7462e-05,1
11,1.96496e-12,0.001,0.195,0.564756,1.11803,1,0.5,0,1.78651e-06,-6.69766e-06,6.93219e-06,569.531,11,9.16158e-06,-3.4347e-05,1.1191e-14,7.01348e-14,4883.29,269.914,0,5.85197e-13,2.89457e-05,-9.59909e-05,1
12,1.96496e-12,0.001,0.195,0.614337,1.11803,1,0.5,0,1.94449e-06,-7.29761e-06,7.55262e-06,619.531,12,9.97173e-06,-3.74236e-05,1.19001e-14,7.43311e-14,5320.1,269.929,0,5.60178e-13,3.14941e-05,-0.00010452,1
13,1.96496e-12,0.001,0.195,0.663918,1.11803,1,0.5,0,2.10246e-06,-7.89755e-06,8.17305e-06,669.531,13,1.07819e-05,-4.05003e-05,1.25798e-14,7.81582e-14,5756.91,269.941,0,5.37217e-13,3.40424e-05,-0.000113049,1
14,1.96496e-12,0.001,0.195,0.713498,1.11803,1,0.5,0,2.26044e-06,-8.4975e-06,8.79347e-06,719.531,14,1.1592e-05,-4.35769e-05,1.32325e-14,8.16608e-14,6193.71,269.952,0,5.16075e-13,3.65908e-05,-0.000121578,1
15,1.96496e-12,0.001,0.195,0.763079,1.11803,1,0.5,0,2.41842e-06,-9.09744e-06,9.4139e-06,769.531,15,1.24021e-05,-4.66536e-05,1.38603e-14,8.48749e-14,6630.52,269.96,0,4.96551e-13,3.91391e-05,-0.000130106,1
16,1.96496e-12,0.001,0.195,0.81266,1.11803,1,0.5,0,2.5764e-06,-9.69739e-06,1.00343e-05,819.531,16,1.32123e-05,-4.97302e-05,1.44651e-14,8.78286e-14,7067.33,269.967,0,4.78473e-13,4.16875e-05,-0.000138635,1
