"Time","KS (id=1 block=1)","MULR (id=1 block=1)","PHI (id=1 block=1)","PVI (id=1 block=1)","Point Coordinates_Magnitude (id=1 block=1)","Point Coordinates_X (id=1 block=1)","Point Coordinates_Y (id=1 block=1)","Point Coordinates_Z (id=1 block=1)","QL1 (id=1 block=1)","QL2 (id=1 block=1)","QLABS (id=1 block=1)","TIME (id=1 block=1)","Time (id=1 block=1)","WL1 (id=1 block=1)","WL2 (id=1 block=1)","n_A_irr (id=1 block=1)","n_A_rev (id=1 block=1)","p (id=1 block=1)","qm (id=1 block=1)","rhoFs (id=1 block=1)","s_G (id=1 block=1)","u_x (id=1 block=1)","u_y (id=1 block=1)","vtkValidPointMask (id=1 block=1)"
0,1.96496e-12,0.001,0.195,0.0193672,0.559017,0.25,0.5,0,7.77269e-08,-1.26396e-07,1.48405e-07,19.531,0,3.986e-07,-6.48184e-07,4.91393e-16,3.9753e-16,135.42,269.304,0,9.95656e-13,1.13966e-06,-2.9859e-06,1
1,1.96496e-12,0.001,0.195,0.068948,0.559017,0.25,0.5,0,3.69385e-07,-5.39665e-07,6.54036e-07,69.531,1,1.89428e-06,-2.76751e-06,1.74212e-15,4.52407e-15,644.089,269.425,0,9.6851e-13,4.56781e-06,-1.17703e-05,1
2,1.96496e-12,0.001,0.195,0.118529,0.559017,0.25,0.5,0,6.66442e-07,-9.52951e-07,1.16297e-06,119.531,2,3.41765e-06,-4.88693e-06,2.94257e-15,1.02686e-14,1172.97,269.525,0,9.33218e-13,8.005e-06,-2.05715e-05,1
3,1.96496e-12,0.001,0.195,0.16811,0.559017,0.25,0.5,0,9.63944e-07,-1.36564e-06,1.67171e-06,169.531,3,4.9433e-06,-7.00328e-06,4.08894e-15,1.67943e-14,1705.54,269.607,0,8.94097e-13,1.14406e-05,-2.93694e-05,1
4,1.96496e-12,0.001,0.195,0.21769,0.559017,0.25,0.5,0,1.26148e-06,-1.77817e-06,2.18036e-06,219.531,4,6.46912e-06,-9.1188e-06,5.18088e-15,2.35554e-14,2238.79,269.675,0,8.53951e-13,1.48757e-05,-3.81662e-05,1
5,1.96496e-12,0.001,0.195,0.267271,0.559017,0.25,0.5,0,1.55902e-06,-2.19066e-06,2.68899e-06,269.531,5,7.99495e-06,-1.12341e-05,6.22008e-15,3.02125e-14,2772.18,269.732,0,8.1452e-13,1.83106e-05,-4.69627e-05,1
6,1.96496e-12,0.001,0.195,0.316852,0.559017,0.25,0.5,0,1.85655e-06,-2.60314e-06,3.19761e-06,319.531,6,9.52078e-06,-1.33494e-05,7.20932e-15,3.65702e-14,3305.59,269.778,0,7.768e-13,2.17455e-05,-5.57591e-05,1
7,1.96496e-12,0.001,0.195,0.366433,0.559017,0.25,0.5,0,2.15409e-06,-3.01562e-06,3.70624e-06,369.531,7,1.10466e-05,-1.54647e-05,8.15189e-15,4.25288e-14,3839,269.817,0,7.4129e-13,2.51805e-05,-6.45556e-05,1
8,1.96496e-12,0.001,0.195,0.416014,0.559017,0.25,0.5,0,2.45162e-06,-3.42811e-06,4.21487e-06,419.531,8,1.25724e-05,-1.758e-05,9.05122e-15,4.80503e-14,4372.41,269.849,0,7.08177e-13,2.86154e-05,-7.3352e-05,1
9,1.96496e-12,0.001,0.195,0.465594,0.559017,0.25,0.5,0,2.74916e-06,-3.84059e-06,4.7235e-06,469.531,9,1.40983e-05,-1.96953e-05,9.91061e-15,5.31337e-14,4905.82,269.875,0,6.77452e-13,3.20503e-05,-8.21484e-05,1
