"Time","KS (id=4 block=1)","MULR (id=4 block=1)","PHI (id=4 block=1)","PVI (id=4 block=1)","Point Coordinates_Magnitude (id=4 block=1)","Point Coordinates_X (id=4 block=1)","Point Coordinates_Y (id=4 block=1)","Point Coordinates_Z (id=4 block=1)","QL1 (id=4 block=1)","QL2 (id=4 block=1)","QLABS (id=4 block=1)","TIME (id=4 block=1)","Time (id=4 block=1)","WL1 (id=4 block=1)","WL2 (id=4 block=1)","n_A_irr (id=4 block=1)","n_A_rev (id=4 block=1)","p (id=4 block=1)","qm (id=4 block=1)","rhoFs (id=4 block=1)","s_G (id=4 block=1)","u_x (id=4 block=1)","u_y (id=4 block=1)","vtkValidPointMask (id=4 block=1)"
0,1.96496e-12,0.001,0.195,0.0193672,1.34629,0.5,1.25,0,3.61604e-07,-9.85488e-07,1.04983e-06,19.531,0,1.85438e-06,-5.05379e-06,4.86328e-16,2.90613e-15,387.335,269.304,0,9.82948e-13,3.2195e-06,-2.58316e-06,1
1,1.96496e-12,0.001,0.195,0.068948,1.34629,0.5,1.25,0,1.01079e-06,-2.7208e-06,2.90283e-06,69.531,1,5.18356e-06,-1.39528e-05,1.63528e-15,1.99159e-14,1572.54,269.425,0,8.89981e-13,1.03507e-05,-8.84091e-06,1
2,1.96496e-12,0.001,0.195,0.118529,1.34629,0.5,1.25,0,1.61944e-06,-4.36535e-06,4.65664e-06,119.531,2,8.3048e-06,-2.23864e-05,2.65082e-15,3.84094e-14,2775.47,269.525,0,7.8979e-13,1.72026e-05,-1.50098e-05,1
3,1.96496e-12,0.001,0.195,0.16811,1.34629,0.5,1.25,0,2.22033e-06,-5.994e-06,6.39283e-06,169.531,3,1.13863e-05,-3.07385e-05,3.54294e-15,5.5686e-14,3981.53,269.607,0,6.96069e-13,2.39964e-05,-2.11608e-05,1
4,1.96496e-12,0.001,0.195,0.21769,1.34629,0.5,1.25,0,2.81976e-06,-7.61973e-06,8.12577e-06,219.531,4,1.44603e-05,-3.90756e-05,4.32845e-15,7.06083e-14,5188.16,269.675,0,6.14537e-13,3.07787e-05,-2.73083e-05,1
5,1.96496e-12,0.001,0.195,0.267271,1.34629,0.5,1.25,0,3.4189e-06,-9.24491e-06,9.8581e-06,269.531,5,1.75328e-05,-4.74098e-05,5.02513e-15,8.29616e-14,6394.9,269.732,0,5.46267e-13,3.75589e-05,-3.34551e-05,1
6,1.96496e-12,0.001,0.195,0.316852,1.34629,0.5,1.25,0,4.01799e-06,-1.087e-05,1.15903e-05,319.531,6,2.06051e-05,-5.57436e-05,5.64896e-15,9.2979e-14,7601.66,269.778,0,4.90056e-13,4.43386e-05,-3.96018e-05,1
7,1.96496e-12,0.001,0.195,0.366433,1.34629,0.5,1.25,0,4.61707e-06,-1.24951e-05,1.33225e-05,369.531,7,2.36773e-05,-6.40772e-05,6.21297e-15,1.01083e-13,8808.42,269.817,0,4.43758e-13,5.11182e-05,-4.57485e-05,1
8,1.96496e-12,0.001,0.195,0.416014,1.34629,0.5,1.25,0,5.21615e-06,-1.41201e-05,1.50547e-05,419.531,8,2.67495e-05,-7.24108e-05,6.72684e-15,1.07756e-13,10015.2,269.849,0,4.04836e-13,5.78978e-05,-5.18952e-05,1
9,1.96496e-12,0.001,0.195,0.465594,1.34629,0.5,1.25,0,5.81523e-06,-1.57452e-05,1.67869e-05,469.531,9,2.98217e-05,-8.07444e-05,7.21176e-15,1.1135e-13,11222,269.875,0,3.82438e-13,6.46774e-05,-5.80418e-05,1
10,1.96496e-12,0.001,0.195,0.515175,1.34629,0.5,1.25,0,6.41431e-06,-1.73702e-05,1.85191e-05,519.531,10,3.28939e-05,-8.9078e-05,7.67558e-15,1.13871e-13,12428.7,269.896,0,3.66134e-13,7.14571e-05,-6.41885e-05,1
11,1.96496e-12,0.001,0.195,0.564756,1.34629,0.5,1.25,0,7.01338e-06,-1.89953e-05,2.02513e-05,569.531,11,3.59661e-05,-9.74116e-05,8.12438e-15,1.15494e-13,13635.5,269.914,0,3.54558e-13,7.82367e-05,-7.03352e-05,1
12,1.96496e-12,0.001,0.195,0.614337,1.34629,0.5,1.25,0,7.61246e-06,-2.06203e-05,2.19835e-05,619.531,12,3.90383e-05,-0.000105745,8.56144e-15,1.1666e-13,14842.2,269.929,0,3.455e-13,8.50163e-05,-7.64818e-05,1
13,1.96496e-12,0.001,0.195,0.663918,1.34629,0.5,1.25,0,8.21154e-06,-2.22454e-05,2.37157e-05,669.531,13,4.21105e-05,-0.000114079,8.98932e-15,1.17473e-13,16049,269.941,0,3.3842e-13,9.17959e-05,-8.26285e-05,1
14,1.96496e-12,0.001,0.195,0.713498,1.34629,0.5,1.25,0,8.81062e-06,-2.38704e-05,2.54478e-05,719.531,14,4.51826e-05,-0.000122412,9.41004e-15,1.18016e-13,17255.8,269.952,0,3.3292e-13,9.85755e-05,-8.87752e-05,1
15,1.96496e-12,0.001,0.195,0.763079,1.34629,0.5,1.25,0,9.40969e-06,-2.54955e-05,2.718e-05,769.531,15,4.82548e-05,-0.000130746,9.8253e-15,1.18345e-13,18462.5,269.96,0,3.28724e-13,0.000105355,-9.49218e-05,1
16,1.96496e-12,0.001,0.195,0.81266,1.34629,0.5,1.25,0,1.00088e-05,-2.71205e-05,2.89122e-05,819.531,16,5.1327e-05,-0.00013908,1.02365e-14,1.18504e-13,19669.3,269.967,0,3.25635e-13,0.000112135,-0.000101069,1
17,1.96496e-12,0.001,0.195,0.862241,1.34629,0.5,1.25,0,1.06078e-05,-2.87456e-05,3.06444e-05,869.531,17,5.43992e-05,-0.000147413,1.06449e-14,1.18522e-13,20876.1,269.972,0,3.23506e-13,0.000118914,-0.000107215,1
18,1.96496e-12,0.001,0.195,0.911822,1.34629,0.5,1.25,0,1.12069e-05,-3.03706e-05,3.23766e-05,919.531,18,5.74714e-05,-0.000155747,1.10516e-14,1.18423e-13,22082.8,269.977,0,3.22223e-13,0.000125694,-0.000113362,1
19,1.96496e-12,0.001,0.195,0.961402,1.34629,0.5,1.25,0,1.1806e-05,-3.19957e-05,3.41088e-05,969.531,19,6.05436e-05,-0.000164081,1.14576e-14,1.18228e-13,23289.6,269.981,0,3.21695e-13,0.000132474,-0.000119509,1
20,1.96496e-12,0.001,0.195,1.01098,1.34629,0.5,1.25,0,1.24051e-05,-3.36208e-05,3.5841e-05,1019.53,20,6.36158e-05,-0.000172414,1.18637e-14,1.17951e-13,24496.4,269.984,0,3.21843e-13,0.000139253,-0.000125655,1
21,1.96496e-12,0.001,0.195,1.06056,1.34629,0.5,1.25,0,1.30042e-05,-3.52458e-05,3.75732e-05,1069.53,21,6.6688e-05,-0.000180748,1.22706e-14,1.17603e-13,25703.1,269.987,0,3.22592e-13,0.000146033,-0.000131802,1
22,1.96496e-12,0.001,0.195,1.11014,1.34629,0.5,1.25,0,1.36032e-05,-3.68709e-05,3.93054e-05,1119.53,22,6.97602e-05,-0.000189081,1.26792e-14,1.17189e-13,26909.9,269.989,0,3.23869e-13,0.000152812,-0.000137949,1
