"Time","KS (id=5 block=1)","MULR (id=5 block=1)","PHI (id=5 block=1)","PVI (id=5 block=1)","Point Coordinates_Magnitude (id=5 block=1)","Point Coordinates_X (id=5 block=1)","Point Coordinates_Y (id=5 block=1)","Point Coordinates_Z (id=5 block=1)","QL1 (id=5 block=1)","QL2 (id=5 block=1)","QLABS (id=5 block=1)","TIME (id=5 block=1)","Time (id=5 block=1)","WL1 (id=5 block=1)","WL2 (id=5 block=1)","n_A_irr (id=5 block=1)","n_A_rev (id=5 block=1)","p (id=5 block=1)","qm (id=5 block=1)","rhoFs (id=5 block=1)","s_G (id=5 block=1)","u_x (id=5 block=1)","u_y (id=5 block=1)","vtkValidPointMask (id=5 block=1)"
0,1.96496e-12,0.001,0.195,0.0193672,0.746905,-0.000876257,0.746904,0,1.51763e-08,-1.77868e-07,1.785e-07,19.531,0,7.7827e-08,-9.12143e-07,4.91214e-16,4.84665e-16,88.9869,269.304,0,9.9521e-13,4.77664e-07,-1.60364e-06,1
1,1.96496e-12,0.001,0.195,0.068948,0.746905,-0.000876257,0.746904,0,6.49809e-08,-6.35114e-07,6.38386e-07,69.531,1,3.33236e-07,-3.25699e-06,1.74237e-15,4.47261e-15,405.786,269.425,0,9.68775e-13,1.78853e-06,-5.85636e-06,1
2,1.96496e-12,0.001,0.195,0.118529,0.746905,-0.000876257,0.746904,0,1.14504e-07,-1.07782e-06,1.08382e-06,119.531,2,5.87201e-07,-5.5273e-06,2.94634e-15,9.73884e-15,731.812,269.525,0,9.35939e-13,3.08567e-06,-1.00603e-05,1
3,1.96496e-12,0.001,0.195,0.16811,0.746905,-0.000876257,0.746904,0,1.6386e-07,-1.51742e-06,1.52614e-06,169.531,3,8.40305e-07,-7.78163e-06,4.10055e-15,1.56098e-14,1059.43,269.607,0,9.00187e-13,4.37893e-06,-1.42524e-05,1
4,1.96496e-12,0.001,0.195,0.21769,0.746905,-0.000876257,0.746904,0,2.13173e-07,-1.9564e-06,1.96785e-06,219.531,4,1.09319e-06,-1.00328e-05,5.20501e-15,2.16588e-14,1387.33,269.675,0,8.63723e-13,5.67133e-06,-1.84421e-05,1
5,1.96496e-12,0.001,0.195,0.267271,0.746905,-0.000876257,0.746904,0,2.62477e-07,-2.39525e-06,2.40944e-06,269.531,5,1.34604e-06,-1.22834e-05,6.26132e-15,2.76216e-14,1715.29,269.732,0,8.27909e-13,6.96357e-06,-2.26312e-05,1
6,1.96496e-12,0.001,0.195,0.316852,0.746905,-0.000876257,0.746904,0,3.1178e-07,-2.83409e-06,2.85101e-06,319.531,6,1.59887e-06,-1.45338e-05,7.27189e-15,3.33446e-14,2043.26,269.778,0,7.93531e-13,8.25578e-06,-2.68203e-05,1
7,1.96496e-12,0.001,0.195,0.366433,0.746905,-0.000876257,0.746904,0,3.61082e-07,-3.27292e-06,3.29257e-06,369.531,7,1.8517e-06,-1.67842e-05,8.23955e-15,3.87477e-14,2371.23,269.817,0,7.60994e-13,9.54798e-06,-3.10094e-05,1
8,1.96496e-12,0.001,0.195,0.416014,0.746905,-0.000876257,0.746904,0,4.10384e-07,-3.71175e-06,3.73414e-06,419.531,8,2.10453e-06,-1.90346e-05,9.1672e-15,4.37979e-14,2699.2,269.849,0,7.3046e-13,1.08402e-05,-3.51984e-05,1
9,1.96496e-12,0.001,0.195,0.465594,0.746905,-0.000876257,0.746904,0,4.59686e-07,-4.15058e-06,4.1757e-06,469.531,9,2.35737e-06,-2.1285e-05,1.00577e-14,4.84915e-14,3027.17,269.875,0,7.01941e-13,1.21324e-05,-3.93875e-05,1
10,1.96496e-12,0.001,0.195,0.515175,0.746905,-0.000876257,0.746904,0,5.08989e-07,-4.58941e-06,4.61727e-06,519.531,10,2.6102e-06,-2.35355e-05,1.09137e-14,5.28415e-14,3355.14,269.896,0,6.75361e-13,1.34246e-05,-4.35765e-05,1
11,1.96496e-12,0.001,0.195,0.564756,0.746905,-0.000876257,0.746904,0,5.58291e-07,-5.02824e-06,5.05883e-06,569.531,11,2.86303e-06,-2.57859e-05,1.17378e-14,5.68693e-14,3683.11,269.914,0,6.50603e-13,1.47168e-05,-4.77656e-05,1
12,1.96496e-12,0.001,0.195,0.614337,0.746905,-0.000876257,0.746904,0,6.07593e-07,-5.46707e-06,5.50039e-06,619.531,12,3.11586e-06,-2.80363e-05,1.25321e-14,6.06002e-14,4011.08,269.929,0,6.27527e-13,1.6009e-05,-5.19546e-05,1
13,1.96496e-12,0.001,0.195,0.663918,0.746905,-0.000876257,0.746904,0,6.56895e-07,-5.9059e-06,5.94196e-06,669.531,13,3.36869e-06,-3.02867e-05,1.32989e-14,6.40603e-14,4339.05,269.941,0,6.05995e-13,1.73012e-05,-5.61437e-05,1
14,1.96496e-12,0.001,0.195,0.713498,0.746905,-0.000876257,0.746904,0,7.06197e-07,-6.34474e-06,6.38352e-06,719.531,14,3.62152e-06,-3.25371e-05,1.40398e-14,6.72745e-14,4667.03,269.952,0,5.8587e-13,1.85934e-05,-6.03327e-05,1
15,1.96496e-12,0.001,0.195,0.763079,0.746905,-0.000876257,0.746904,0,7.555e-07,-6.78357e-06,6.82509e-06,769.531,15,3.87436e-06,-3.47875e-05,1.47567e-14,7.02661e-14,4995,269.96,0,5.67027e-13,1.98856e-05,-6.45218e-05,1
16,1.96496e-12,0.001,0.195,0.81266,0.746905,-0.000876257,0.746904,0,8.04802e-07,-7.2224e-06,7.26665e-06,819.531,16,4.12719e-06,-3.70379e-05,1.5451e-14,7.30561e-14,5322.97,269.967,0,5.49351e-13,2.11778e-05,-6.87109e-05,1
17,1.96496e-12,0.001,0.195,0.862241,0.746905,-0.000876257,0.746904,0,8.54104e-07,-7.66123e-06,7.70821e-06,869.531,17,4.38002e-06,-3.92883e-05,1.61241e-14,7.56636e-14,5650.94,269.972,0,5.32739e-13,2.247e-05,-7.28999e-05,1
18,1.96496e-12,0.001,0.195,0.911822,0.746905,-0.000876257,0.746904,0,9.03406e-07,-8.10006e-06,8.14978e-06,919.531,18,4.63285e-06,-4.15388e-05,1.67774e-14,7.81054e-14,5978.91,269.977,0,5.171e-13,2.37622e-05,-7.7089e-05,1
19,1.96496e-12,0.001,0.195,0.961402,0.746905,-0.000876257,0.746904,0,9.52708e-07,-8.53889e-06,8.59134e-06,969.531,19,4.88568e-06,-4.37892e-05,1.74119e-14,8.03966e-14,6306.88,269.981,0,5.0235e-13,2.50544e-05,-8.1278e-05,1
20,1.96496e-12,0.001,0.195,1.01098,0.746905,-0.000876257,0.746904,0,1.00201e-06,-8.97772e-06,9.03291e-06,1019.53,20,5.13852e-06,-4.60396e-05,1.80287e-14,8.25506e-14,6634.85,269.984,0,4.88417e-13,2.63466e-05,-8.54671e-05,1
21,1.96496e-12,0.001,0.195,1.06056,0.746905,-0.000876257,0.746904,0,1.05131e-06,-9.41655e-06,9.47447e-06,1069.53,21,5.39135e-06,-4.829e-05,1.86288e-14,8.45793e-14,6962.82,269.987,0,4.75234e-13,2.76387e-05,-8.96561e-05,1
22,1.96496e-12,0.001,0.195,1.11014,0.746905,-0.000876257,0.746904,0,1.10061e-06,-9.85538e-06,9.91604e-06,1119.53,22,5.64418e-06,-5.05404e-05,1.92131e-14,8.64933e-14,7290.79,269.989,0,4.62743e-13,2.89309e-05,-9.38452e-05,1
23,1.96496e-12,0.001,0.195,1.15973,0.746905,-0.000876257,0.746904,0,1.14992e-06,-1.02942e-05,1.03576e-05,1169.53,23,5.89701e-06,-5.27908e-05,1.97824e-14,8.83007e-14,7618.76,269.991,0,4.50898e-13,3.02231e-05,-9.80342e-05,1
24,1.96496e-12,0.001,0.195,1.20931,0.746905,-0.000876257,0.746904,0,1.19922e-06,-1.0733e-05,1.07992e-05,1219.53,24,6.14984e-06,-5.50412e-05,2.03374e-14,9.00099e-14,7946.73,269.992,0,4.3965e-13,3.15153e-05,-0.000102223,1
25,1.96496e-12,0.001,0.195,1.25889,0.746905,-0.000876257,0.746904,0,1.24852e-06,-1.11719e-05,1.12407e-05,1269.53,25,6.40267e-06,-5.72916e-05,2.08789e-14,9.16315e-14,8274.7,269.994,0,4.28943e-13,3.28075e-05,-0.000106412,1
26,1.96496e-12,0.001,0.195,1.30847,0.746905,-0.000876257,0.746904,0,1.29782e-06,-1.16107e-05,1.16823e-05,1319.53,26,6.65551e-06,-5.95421e-05,2.14074e-14,9.31755e-14,8602.67,269.995,0,4.18724e-13,3.40997e-05,-0.000110601,1
27,1.96496e-12,0.001,0.195,1.35805,0.746905,-0.000876257,0.746904,0,1.34713e-06,-1.20495e-05,1.21239e-05,1369.53,27,6.90834e-06,-6.17925e-05,2.19236e-14,9.46501e-14,8930.65,269.996,0,4.08951e-13,3.53919e-05,-0.00011479,1
28,1.96496e-12,0.001,0.195,1.40763,0.746905,-0.000876257,0.746904,0,1.39643e-06,-1.24884e-05,1.25654e-05,1419.53,28,7.16117e-06,-6.40429e-05,2.2428e-14,9.60556e-14,9258.62,269.996,0,3.99619e-13,3.66841e-05,-0.000118979,1
29,1.96496e-12,0.001,0.195,1.45721,0.746905,-0.000876257,0.746904,0,1.44573e-06,-1.29272e-05,1.3007e-05,1469.53,29,7.414e-06,-6.62933e-05,2.29211e-14,9.73881e-14,9586.59,269.997,0,3.90743e-13,3.79763e-05,-0.000123169,1
30,1.96496e-12,0.001,0.195,1.50679,0.746905,-0.000876257,0.746904,0,1.49503e-06,-1.3366e-05,1.34486e-05,1519.53,30,7.66683e-06,-6.85437e-05,2.34037e-14,9.86326e-14,9914.56,269.997,0,3.82374e-13,3.92685e-05,-0.000127358,1
31,1.96496e-12,0.001,0.195,1.55637,0.746905,-0.000876257,0.746904,0,1.54433e-06,-1.38049e-05,1.38901e-05,1569.53,31,7.91967e-06,-7.07941e-05,2.38763e-14,9.97935e-14,10242.5,269.998,0,3.74486e-13,4.05607e-05,-0.000131547,1
32,1.96496e-12,0.001,0.195,1.60595,0.746905,-0.000876257,0.746904,0,1.59364e-06,-1.42437e-05,1.43317e-05,1619.53,32,8.1725e-06,-7.30445e-05,2.43391e-14,1.00942e-13,10570.5,269.998,0,3.66717e-13,4.18529e-05,-0.000135736,1
33,1.96496e-12,0.001,0.195,1.65553,0.746905,-0.000876257,0.746904,0,1.64294e-06,-1.46825e-05,1.47732e-05,1669.53,33,8.42533e-06,-7.52949e-05,2.47915e-14,1.022e-13,10898.5,269.998,0,3.58509e-13,4.31451e-05,-0.000139925,1
34,1.96496e-12,0.001,0.195,1.70511,0.746905,-0.000876257,0.746904,0,1.69224e-06,-1.51213e-05,1.52148e-05,1719.53,34,8.67816e-06,-7.75454e-05,2.52368e-14,1.02959e-13,11226.4,269.998,0,3.52914e-13,4.44373e-05,-0.000144114,1
