"Time","KS (id=6 block=1)","MULR (id=6 block=1)","PHI (id=6 block=1)","PVI (id=6 block=1)","Point Coordinates_Magnitude (id=6 block=1)","Point Coordinates_X (id=6 block=1)","Point Coordinates_Y (id=6 block=1)","Point Coordinates_Z (id=6 block=1)","QL1 (id=6 block=1)","QL2 (id=6 block=1)","QLABS (id=6 block=1)","TIME (id=6 block=1)","Time (id=6 block=1)","WL1 (id=6 block=1)","WL2 (id=6 block=1)","n_A_irr (id=6 block=1)","n_A_rev (id=6 block=1)","p (id=6 block=1)","qm (id=6 block=1)","rhoFs (id=6 block=1)","s_G (id=6 block=1)","u_x (id=6 block=1)","u_y (id=6 block=1)","vtkValidPointMask (id=6 block=1)"
0,1.96496e-12,0.001,0.195,0.0193672,1.60682,1.00683,1.25227,0,1.96557e-07,-2.06686e-07,2.85406e-07,19.531,0,1.00798e-06,-1.05993e-06,4.90596e-16,7.87561e-16,245.43,269.304,0,9.93659e-13,2.42007e-06,-1.65192e-06,1
1,1.96496e-12,0.001,0.195,0.068948,1.60682,1.00683,1.25227,0,6.13602e-07,-7.53132e-07,9.72291e-07,69.531,1,3.14668e-06,-3.86222e-06,1.72612e-15,6.83416e-15,1156.02,269.425,0,9.56734e-13,7.9376e-06,-6.58211e-06,1
2,1.96496e-12,0.001,0.195,0.118529,1.60682,1.00683,1.25227,0,1.00236e-06,-1.29435e-06,1.63857e-06,119.531,2,5.14032e-06,-6.63769e-06,2.898e-15,1.46229e-14,2102.67,269.525,0,9.11074e-13,1.32337e-05,-1.15586e-05,1
3,1.96496e-12,0.001,0.195,0.16811,1.60682,1.00683,1.25227,0,1.38535e-06,-1.83436e-06,2.30081e-06,169.531,3,7.10438e-06,-9.40695e-06,4.00346e-15,2.30672e-14,3056.04,269.607,0,8.62265e-13,1.84831e-05,-1.65417e-05,1
4,1.96496e-12,0.001,0.195,0.21769,1.60682,1.00683,1.25227,0,1.76722e-06,-2.37411e-06,2.96236e-06,219.531,4,9.06267e-06,-1.21749e-05,5.0438e-15,3.15079e-14,4010.67,269.675,0,8.13682e-13,2.37234e-05,-2.15258e-05,1
5,1.96496e-12,0.001,0.195,0.267271,1.60682,1.00683,1.25227,0,2.14887e-06,-2.91382e-06,3.62383e-06,269.531,5,1.10199e-05,-1.49426e-05,6.02257e-15,3.95654e-14,4965.54,269.732,0,7.67256e-13,2.89619e-05,-2.65101e-05,1
6,1.96496e-12,0.001,0.195,0.316852,1.60682,1.00683,1.25227,0,2.53049e-06,-3.45351e-06,4.28532e-06,319.531,6,1.29769e-05,-1.77103e-05,6.94438e-15,4.70464e-14,5920.46,269.778,0,7.23953e-13,3.42001e-05,-3.14944e-05,1
7,1.96496e-12,0.001,0.195,0.366433,1.60682,1.00683,1.25227,0,2.91209e-06,-3.99321e-06,4.94684e-06,369.531,7,1.49338e-05,-2.0478e-05,7.81412e-15,5.38775e-14,6875.38,269.817,0,6.84123e-13,3.94382e-05,-3.64787e-05,1
8,1.96496e-12,0.001,0.195,0.416014,1.60682,1.00683,1.25227,0,3.29369e-06,-4.5329e-06,5.60837e-06,419.531,8,1.68907e-05,-2.32456e-05,8.63655e-15,6.0056e-14,7830.31,269.849,0,6.47756e-13,4.46762e-05,-4.1463e-05,1
9,1.96496e-12,0.001,0.195,0.465594,1.60682,1.00683,1.25227,0,3.67529e-06,-5.07259e-06,6.26991e-06,469.531,9,1.88477e-05,-2.60133e-05,9.4161e-15,6.56177e-14,8785.23,269.875,0,6.14641e-13,4.99143e-05,-4.64473e-05,1
10,1.96496e-12,0.001,0.195,0.515175,1.60682,1.00683,1.25227,0,4.0569e-06,-5.61228e-06,6.93146e-06,519.531,10,2.08046e-05,-2.87809e-05,1.01567e-14,7.06157e-14,9740.16,269.896,0,5.84484e-13,5.51524e-05,-5.14316e-05,1
11,1.96496e-12,0.001,0.195,0.564756,1.60682,1.00683,1.25227,0,4.4385e-06,-6.15198e-06,7.59302e-06,569.531,11,2.27615e-05,-3.15486e-05,1.0862e-14,7.51079e-14,10695.1,269.914,0,5.56965e-13,6.03905e-05,-5.64159e-05,1
12,1.96496e-12,0.001,0.195,0.614337,1.60682,1.00683,1.25227,0,4.8201e-06,-6.69167e-06,8.25459e-06,619.531,12,2.47185e-05,-3.43163e-05,1.15348e-14,7.91543e-14,11650,269.929,0,5.31772e-13,6.56285e-05,-6.14002e-05,1
13,1.96496e-12,0.001,0.195,0.663918,1.60682,1.00683,1.25227,0,5.2017e-06,-7.23136e-06,8.91615e-06,669.531,13,2.66754e-05,-3.70839e-05,1.21781e-14,8.28024e-14,12604.9,269.941,0,5.08639e-13,7.08666e-05,-6.63845e-05,1
14,1.96496e-12,0.001,0.195,0.713498,1.60682,1.00683,1.25227,0,5.58331e-06,-7.77106e-06,9.57773e-06,719.531,14,2.86323e-05,-3.98516e-05,1.27942e-14,8.60867e-14,13559.9,269.952,0,4.8733e-13,7.61047e-05,-7.13688e-05,1
15,1.96496e-12,0.001,0.195,0.763079,1.60682,1.00683,1.25227,0,5.96491e-06,-8.31075e-06,1.02393e-05,769.531,15,3.05893e-05,-4.26192e-05,1.3385e-14,8.90689e-14,14514.8,269.96,0,4.67553e-13,8.13428e-05,-7.63531e-05,1
16,1.96496e-12,0.001,0.195,0.81266,1.60682,1.00683,1.25227,0,6.34651e-06,-8.85044e-06,1.09009e-05,819.531,16,3.25462e-05,-4.53869e-05,1.39523e-14,9.17985e-14,15469.7,269.967,0,4.49127e-13,8.65808e-05,-8.13374e-05,1
17,1.96496e-12,0.001,0.195,0.862241,1.60682,1.00683,1.25227,0,6.72811e-06,-9.39014e-06,1.15625e-05,869.531,17,3.45031e-05,-4.81546e-05,1.44979e-14,9.42653e-14,16424.6,269.972,0,4.32035e-13,9.18189e-05,-8.63217e-05,1
18,1.96496e-12,0.001,0.195,0.911822,1.60682,1.00683,1.25227,0,7.10972e-06,-9.92983e-06,1.2224e-05,919.531,18,3.64601e-05,-5.09222e-05,1.50234e-14,9.645e-14,17379.6,269.977,0,4.162e-13,9.7057e-05,-9.1306e-05,1
19,1.96496e-12,0.001,0.195,0.961402,1.60682,1.00683,1.25227,0,7.49132e-06,-1.04695e-05,1.28856e-05,969.531,19,3.8417e-05,-5.36899e-05,1.55299e-14,9.84139e-14,18334.5,269.981,0,4.0129e-13,0.000102295,-9.62903e-05,1
20,1.96496e-12,0.001,0.195,1.01098,1.60682,1.00683,1.25227,0,7.87292e-06,-1.10092e-05,1.35472e-05,1019.53,20,4.03739e-05,-5.64575e-05,1.60185e-14,1.00208e-13,19289.4,269.984,0,3.87129e-13,0.000107533,-0.000101275,1
21,1.96496e-12,0.001,0.195,1.06056,1.60682,1.00683,1.25227,0,8.25452e-06,-1.15489e-05,1.42088e-05,1069.53,21,4.23309e-05,-5.92252e-05,1.649e-14,1.01927e-13,20244.4,269.987,0,3.73702e-13,0.000112771,-0.000106259,1
