"Time","KS (id=7 block=1)","MULR (id=7 block=1)","PHI (id=7 block=1)","PVI (id=7 block=1)","Point Coordinates_Magnitude (id=7 block=1)","Point Coordinates_X (id=7 block=1)","Point Coordinates_Y (id=7 block=1)","Point Coordinates_Z (id=7 block=1)","QL1 (id=7 block=1)","QL2 (id=7 block=1)","QLABS (id=7 block=1)","TIME (id=7 block=1)","Time (id=7 block=1)","WL1 (id=7 block=1)","WL2 (id=7 block=1)","n_A_irr (id=7 block=1)","n_A_rev (id=7 block=1)","p (id=7 block=1)","qm (id=7 block=1)","rhoFs (id=7 block=1)","s_G (id=7 block=1)","u_x (id=7 block=1)","u_y (id=7 block=1)","vtkValidPointMask (id=7 block=1)"
0,1.96496e-12,0.001,0.195,0.0193672,1.24744,0.999124,0.746904,0,1.03187e-07,-3.597e-07,3.74133e-07,19.531,0,5.29162e-07,-1.84461e-06,4.90164e-16,1.00393e-15,255.641,269.304,0,9.92552e-13,2.24388e-06,-4.72247e-06,1
1,1.96496e-12,0.001,0.195,0.068948,1.24744,0.999124,0.746904,0,3.89292e-07,-1.70138e-06,1.74518e-06,69.531,1,1.99637e-06,-8.72502e-06,1.69244e-15,1.18635e-14,1232.92,269.425,0,9.31105e-13,8.06448e-06,-2.00586e-05,1
2,1.96496e-12,0.001,0.195,0.118529,1.24744,0.999124,0.746904,0,6.63994e-07,-3.08079e-06,3.15126e-06,119.531,2,3.4051e-06,-1.57989e-05,2.78827e-15,2.62352e-14,2255.05,269.525,0,8.52087e-13,1.37532e-05,-3.56798e-05,1
3,1.96496e-12,0.001,0.195,0.16811,1.24744,0.999124,0.746904,0,9.35822e-07,-4.46608e-06,4.5627e-06,169.531,3,4.79909e-06,-2.2903e-05,3.77547e-15,4.12736e-14,3285.71,269.607,0,7.7014e-13,1.94105e-05,-5.13467e-05,1
4,1.96496e-12,0.001,0.195,0.21769,1.24744,0.999124,0.746904,0,1.20705e-06,-5.85237e-06,5.97508e-06,219.531,4,6.18999e-06,-3.00122e-05,4.66202e-15,5.53741e-14,4318,269.675,0,6.93485e-13,2.50613e-05,-6.70216e-05,1
5,1.96496e-12,0.001,0.195,0.267271,1.24744,0.999124,0.746904,0,1.47816e-06,-7.23884e-06,7.38764e-06,269.531,5,7.58029e-06,-3.71223e-05,5.46016e-15,6.78289e-14,5350.59,269.732,0,6.25721e-13,3.07109e-05,-8.26979e-05,1
6,1.96496e-12,0.001,0.195,0.316852,1.24744,0.999124,0.746904,0,1.74924e-06,-8.62535e-06,8.80025e-06,319.531,6,8.97046e-06,-4.42325e-05,6.18284e-15,7.84818e-14,6383.25,269.778,0,5.676e-13,3.63602e-05,-9.83744e-05,1
7,1.96496e-12,0.001,0.195,0.366433,1.24744,0.999124,0.746904,0,2.02032e-06,-1.00119e-05,1.02129e-05,369.531,7,1.03606e-05,-5.13429e-05,6.84188e-15,8.74628e-14,7415.91,269.817,0,5.1841e-13,4.20094e-05,-0.000114051,1
8,1.96496e-12,0.001,0.195,0.416014,1.24744,0.999124,0.746904,0,2.2914e-06,-1.13984e-05,1.16255e-05,419.531,8,1.17508e-05,-5.84532e-05,7.44736e-15,9.50074e-14,8448.58,269.849,0,4.76894e-13,4.76587e-05,-0.000129728,1
9,1.96496e-12,0.001,0.195,0.465594,1.24744,0.999124,0.746904,0,2.56248e-06,-1.27849e-05,1.30382e-05,469.531,9,1.31409e-05,-6.55635e-05,8.0074e-15,1.01401e-13,9481.25,269.875,0,4.41579e-13,5.3308e-05,-0.000145404,1
